, Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Label
10,80,986,4,0,6,0,6,0,1.5,3.0,0,0,0.0,0.0,6085.192698,4056.795132,328.6666667,564.9374597,981,2,986,328.6666667,564.9374597,981,2,0,0.0,0.0,0,0,0,0,0,0,116,0,4056.795132,0.0,0,6,1.2,2.683281573,7.2,0,0,0,0,1,0,0,0,0,1.5,1.5,0.0,116,0,0,0,0,0,0,4,6,0,0,251,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
11,52279,18,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,666666.6667,111111.1111,18.0,0.0,18,18,18,18.0,0.0,18,18,0,0.0,0.0,0,0,0,0,0,0,40,0,111111.1111,0.0,6,6,6.0,0.0,0.0,1,0,0,0,0,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,0,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,1
12,80,99653495,7,6,355,11595,355,0,50.71428571,134.1773879,4355,0,1932.5,2182.468304,119.9155132,0.130452023,8304457.917,28800000.0,99700000,0,99700000,16600000.0,40700000.0,99700000,0,1481,296.2,464.7791949,1095,3,0,0,0,0,232,200,0.070243397,0.060208626,0,4355,853.5714286,1667.541337,2780694.11,0,0,0,0,1,0,0,0,0,919.2307692,50.71428571,1932.5,232,0,0,0,0,0,0,7,355,6,11595,274,235,1,32,7.0,0.0,7,7,99700000.0,0.0,99700000,99700000,0
13,33330,1,2,0,31,0,31,0,15.5,21.92031022,0,0,0.0,0.0,31000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,1,0,0,0,64,0,2000000.0,0.0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,67,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
14,33098,198,3,1,31,6,31,0,10.33333333,17.89785834,6,6,6.0,0.0,186868.6869,20202.0202,66.0,64.09368144,132,4,198,99.0,134.3502884,194,4,0,0.0,0.0,0,0,0,0,0,0,96,20,15151.51515,5050.505051,0,31,7.4,13.44618905,180.8,0,0,0,0,1,0,0,0,0,9.25,10.33333333,6.0,96,0,0,0,0,0,0,3,31,1,6,1106,0,1,32,0.0,0.0,0,0,0.0,0.0,0,0,1
15,53,23708,1,1,46,62,46,46,46.0,0.0,62,62,62.0,0.0,4555.424329,84.3597098,23708.0,0.0,23708,23708,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,42.1798549,42.1798549,46,62,51.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,77.0,46.0,62.0,20,0,0,0,0,0,0,1,46,1,62,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,1
16,53,230,2,2,82,254,41,41,41.0,0.0,127,127,127.0,0.0,1460869.565,17391.30435,76.66666667,49.65212315,134,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,40,40,8695.652174,8695.652174,41,127,75.4,47.10413995,2218.8,0,0,0,0,0,0,0,0,1,94.25,41.0,127.0,40,0,0,0,0,0,0,2,82,2,254,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,1
17,53,30562,1,1,45,114,45,45,45.0,0.0,114,114,114.0,0.0,5202.539101,65.44074341,30562.0,0.0,30562,30562,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,32.7203717,32.7203717,45,114,68.0,39.83716857,1587.0,0,0,0,0,0,0,0,0,1,102.0,45.0,114.0,32,0,0,0,0,0,0,1,45,1,114,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
18,53,149,2,2,78,110,39,39,39.0,0.0,55,55,55.0,0.0,1261744.966,26845.63758,49.66666667,80.82903769,143,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,13422.81879,13422.81879,39,55,45.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,56.75,39.0,55.0,64,0,0,0,0,0,0,2,78,2,110,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,1
19,80,10,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,200000.0,10.0,0.0,10,10,10,10.0,0.0,10,10,0,0.0,0.0,0,0,0,0,0,0,64,0,200000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
20,80,98367838,8,6,291,11595,291,0,36.375,102.8840367,5792,0,1932.5,2181.008184,120.8321769,0.142322941,7566756.769,27300000.0,98300000,1,98300000,14000000.0,37200000.0,98300000,1,45556,9111.2,14469.98195,33310,47,0,0,0,0,264,200,0.081327395,0.060995546,0,5792,792.4,1622.553886,2632681.114,0,0,0,0,1,0,0,0,0,849.0,36.375,1932.5,264,0,0,0,0,0,0,8,291,6,11595,251,235,1,32,1013.0,0.0,1013,1013,98300000.0,0.0,98300000,98300000,0
21,40214,78,3,1,31,6,31,0,10.33333333,17.89785834,6,6,6.0,0.0,474358.9744,51282.05128,26.0,23.2594067,47,1,48,24.0,32.52691193,47,1,0,0.0,0.0,0,0,0,0,0,0,96,20,38461.53846,12820.51282,0,31,7.4,13.44618905,180.8,0,0,0,0,1,0,0,0,0,9.25,10.33333333,6.0,96,0,0,0,0,0,0,3,31,1,6,1006,0,1,32,0.0,0.0,0,0,0.0,0.0,0,0,1
22,80,1,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,64,0,2000000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
23,80,67079644,9,6,318,11595,312,0,35.33333333,103.7689742,4344,0,1932.5,1977.812908,177.5948602,0.223614782,4791403.143,17900000.0,66900000,1,66900000,8367890.0,23700000.0,66900000,1,147422,29484.4,59814.55277,136154,56,0,0,0,0,284,200,0.134168869,0.089445913,0,4344,744.5625,1487.581122,2212897.596,0,0,0,0,1,0,0,0,0,794.2,35.33333333,1932.5,284,0,0,0,0,0,0,9,318,6,11595,274,235,2,20,1997.0,0.0,1997,1997,66900000.0,0.0,66900000,66900000,0
24,443,158162,7,5,376,3508,201,0,53.71428571,78.68653906,1460,0,701.6,731.5646246,24557.09968,75.87157471,14378.36364,16983.7507,40147,32,158162,26360.33333,16587.63074,44870,1099,80072,20018.0,36962.85431,75381,55,0,0,0,0,152,112,44.25841858,31.61315613,0,1460,298.7692308,539.9757948,291573.859,0,0,0,1,0,0,0,0,0,323.6666667,53.71428571,701.6,152,0,0,0,0,0,0,7,376,5,3508,8192,60,6,20,0.0,0.0,0,0,0.0,0.0,0,0,1
25,53,137422,2,2,66,332,33,33,33.0,0.0,166,166,166.0,0.0,2896.188383,29.10742094,45807.33333,79336.29858,137417,1,1,1.0,0.0,1,1,4,4.0,0.0,4,4,0,0,0,0,64,64,14.55371047,14.55371047,33,166,86.2,72.84710015,5306.7,0,0,0,0,0,0,0,0,1,107.75,33.0,166.0,64,0,0,0,0,0,0,2,66,2,332,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,1
26,53,53711,1,1,43,101,43,43,43.0,0.0,101,101,101.0,0.0,2681.015062,37.23632031,53711.0,0.0,53711,53711,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,18.61816015,18.61816015,43,101,62.33333333,33.48631561,1121.333333,0,0,0,0,0,0,0,0,1,93.5,43.0,101.0,20,0,0,0,0,0,0,1,43,1,101,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,1
27,443,661284,13,9,1248,4437,773,0,96.0,217.134367,1448,0,493.0,636.2666501,8596.911463,33.26861076,31489.71429,85882.51926,385984,1,661284,55107.0,115127.0374,385984,1,244925,30615.625,40670.73401,114373,48,0,0,0,0,428,296,19.65872454,13.60988622,0,1448,247.173913,462.5283925,213932.5138,0,0,0,1,0,0,0,0,0,258.4090909,96.0,493.0,428,0,0,0,0,0,0,13,1248,9,4437,65535,124,6,32,0.0,0.0,0,0,0.0,0.0,0,0,1
28,53,189177,1,1,40,105,40,40,40.0,0.0,105,105,105.0,0.0,766.4779545,10.57210972,189177.0,0.0,189177,189177,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,5.286054859,5.286054859,40,105,61.66666667,37.5277675,1408.333333,0,0,0,0,0,0,0,0,1,92.5,40.0,105.0,20,0,0,0,0,0,0,1,40,1,105,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,1
29,80,991,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2018.163471,991.0,0.0,991,991,991,991.0,0.0,991,991,0,0.0,0.0,0,0,0,0,0,0,64,0,2018.163471,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
30,80,98134861,6,6,352,11595,352,0,58.66666667,143.7033982,5792,0,1932.5,2179.547086,121.740632,0.122280705,8921351.0,29600000.0,98100000,1,98100000,19600000.0,43900000.0,98100000,1,43566,8713.2,13607.94219,31239,47,0,0,0,0,200,200,0.061140353,0.061140353,0,5792,919.0,1715.227779,2942006.333,0,0,0,0,1,0,0,0,1,995.5833333,58.66666667,1932.5,200,0,0,0,0,0,0,6,352,6,11595,274,235,1,32,4.0,0.0,4,4,98100000.0,0.0,98100000,98100000,0
31,80,32711770,108,125,6266,205889,400,0,58.01851852,139.9939239,4344,0,1647.112,901.5808179,6485.586075,7.122818484,140999.0086,1975471.672,30100000,0,32700000,305717.4766,2907516.422,30100000,3,2505787,20207.95968,46816.34872,241626,1,0,0,0,0,3468,4008,3.301563932,3.821254551,0,4344,906.6452991,1035.893634,1073075.62,0,0,0,1,0,0,0,0,1,910.5364807,58.01851852,1647.112,3468,0,0,0,0,0,0,108,6266,125,205889,65535,62,16,32,0.0,0.0,0,0,0.0,0.0,0,0,1
32,80,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,274,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
33,80,18,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,666666.6667,111111.1111,18.0,0.0,18,18,18,18.0,0.0,18,18,0,0.0,0.0,0,0,0,0,0,0,40,0,111111.1111,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,16425,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,1
34,80,184660,3,7,345,11595,345,0,115.0,199.1858429,5792,0,1656.428571,2118.227235,64659.37398,54.15357955,20517.77778,53334.76477,161971,47,22013,11006.5,8483.160054,17005,5008,184560,30760.0,64878.86718,161971,47,0,0,0,0,104,232,16.24607387,37.90750569,0,5792,1085.454545,1824.453527,3328630.673,0,0,0,1,0,0,0,0,2,1194.0,115.0,1656.428571,104,0,0,0,0,0,0,3,345,7,11595,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
35,80,105649629,16,3,2541,6,231,0,158.8125,110.5828309,6,0,2.0,3.464101615,24.10798811,0.179839723,5869423.833,12500000.0,51300000,114,106000000,7043301.0,13500000.0,51300000,472,103000000,51300000.0,27900000.0,71000000,31600000,0,0,0,0,536,100,0.151443977,0.028395746,0,231,127.35,117.5733925,13823.50263,0,0,0,1,0,0,0,0,0,134.0526316,158.8125,2.0,536,0,0,0,0,0,0,16,2541,3,6,29200,0,11,32,4705525.0,6654109.57,9410691,359,19200000.0,18800000.0,51300000,5962527,0
36,80,4,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,64,0,500000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,274,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
37,80,48,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,41666.66667,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0,0,0,64,0,41666.66667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,274,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
38,53,31425,2,2,58,122,29,29,29.0,0.0,61,61,61.0,0.0,5727.923628,127.2871917,10475.0,18097.34685,31372,4,4,4.0,0.0,4,4,49,49.0,0.0,49,49,0,0,0,0,64,64,63.64359586,63.64359586,29,61,41.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,52.25,29.0,61.0,64,0,0,0,0,0,0,2,58,2,122,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,1
39,80,103067533,7,7,337,11595,325,0,48.14285714,122.1152851,5792,0,1656.428571,2429.118623,115.7687552,0.13583327,7928271.769,27700000.0,100000000,18,103000000,17200000.0,40600000.0,100000000,919,103000000,17200000.0,42100000.0,103000000,48,0,0,0,0,224,232,0.067916635,0.067916635,0,5792,795.8666667,1797.11415,3229619.267,1,0,0,0,0,0,0,0,1,852.7142857,48.14285714,1656.428571,224,0,0,0,0,0,0,7,337,7,11595,0,235,2,20,11020.0,0.0,11020,11020,100000000.0,0.0,100000000,100000000,0
40,53,47911,4,4,172,436,43,43,43.0,0.0,109,109,109.0,0.0,12690.19641,166.9762685,6844.428571,12292.52588,30825,3,47742,15914.0,27519.69765,47691,4,17039,5679.666667,9793.329788,16988,3,0,0,0,0,104,104,83.48813425,83.48813425,43,109,72.33333333,34.78505426,1210.0,0,0,0,0,0,0,0,0,1,81.375,43.0,109.0,104,0,0,0,0,0,0,4,172,4,436,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,1
41,80,83433494,6,7,384,11595,366,0,64.0,147.9783768,7240,0,1656.428571,2698.609263,143.5754327,0.155812724,6952791.167,24000000.0,83300000,2,83300000,16700000.0,37200000.0,83300000,2,83400000,13900000.0,34000000.0,83300000,85,0,0,0,0,164,232,0.071913565,0.083899159,0,7240,856.0714286,2014.854928,4059640.379,1,0,0,0,0,0,0,0,1,921.9230769,64.0,1656.428571,164,0,0,0,0,0,0,6,384,7,11595,0,235,3,20,13984.0,0.0,13984,13984,83300000.0,0.0,83300000,83300000,0
42,80,98266569,6,6,402,11595,402,0,67.0,164.1158128,5792,0,1932.5,2181.008184,122.0862814,0.122116811,8933324.455,29600000.0,98300000,1,98300000,19700000.0,43900000.0,98300000,1,7277,1455.4,2895.450621,6629,45,0,0,0,0,200,200,0.061058405,0.061058405,0,5792,922.8461538,1714.680235,2940128.308,0,0,0,0,1,0,0,0,1,999.75,67.0,1932.5,200,0,0,0,0,0,0,6,402,6,11595,251,235,1,32,2.0,0.0,2,2,98300000.0,0.0,98300000,98300000,0
43,80,102694759,14,3,2541,6,231,0,181.5,98.36333745,6,0,2.0,3.464101615,24.80165517,0.16553912,6418422.438,13200000.0,51400000,21,103000000,7899587.462,14400000.0,51400000,239,103000000,51300000.0,28000000.0,71200000,31500000,0,0,0,0,456,100,0.136326334,0.029212786,0,231,141.5,115.4547276,13329.79412,0,0,0,1,0,0,0,0,0,149.8235294,181.5,2.0,456,0,0,0,0,0,0,14,2541,3,6,29200,0,11,32,3204212.5,4530661.543,6407874,551,19300000.0,18800000.0,51400000,5895991,0
44,443,6017637,8,8,698,4490,517,0,87.25,178.6335035,1460,0,561.25,705.5186036,862.1324284,2.658850974,401175.8,1461379.797,5680869,0,6017637,859662.4286,2127444.478,5680869,0,107301,15328.71429,19456.81314,47064,94,0,0,0,0,172,172,1.329425487,1.329425487,0,1460,305.1764706,542.293882,294082.6544,0,0,0,1,0,0,0,0,1,324.25,87.25,561.25,172,0,0,0,0,0,0,8,698,8,4490,8192,12501,7,20,336768.0,0.0,336768,336768,5680869.0,0.0,5680869,5680869,1
45,53,142,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,1126760.563,28169.01408,47.33333333,76.7875858,136,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,14084.50704,14084.50704,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,40,0,0,0,0,0,0,2,64,2,96,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,1
46,60206,19,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,631578.9474,105263.1579,19.0,0.0,19,19,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,52631.57895,52631.57895,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,58,16425,0,20,0.0,0.0,0,0,0.0,0.0,0,0,1
47,53220,211,2,0,43,0,37,6,21.5,21.92031022,0,0,0.0,0.0,203791.4692,9478.672986,211.0,0.0,211,211,211,211.0,0.0,211,211,0,0.0,0.0,0,0,0,0,0,0,40,0,9478.672986,0.0,6,37,16.33333333,17.89785834,320.3333333,0,0,0,0,1,0,0,0,0,24.5,21.5,0.0,40,0,0,0,0,0,0,2,43,0,0,40958,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,1
48,443,4716507,4,4,92,123,46,0,23.0,26.55811238,46,0,30.75,21.68524844,45.58458198,1.696170492,673786.7143,1756620.082,4657303,49,4716323,1572107.667,2671857.536,4657303,29409,4686954,1562318.0,2705779.462,4686683,49,1,0,0,0,128,128,0.848085246,0.848085246,0,46,29.0,22.28227996,496.5,0,1,0,0,1,0,0,0,1,32.625,23.0,30.75,128,0,0,0,0,0,0,4,92,4,123,328,122,1,32,0.0,0.0,0,0,0.0,0.0,0,0,1
49,53,76823,1,1,48,64,48,48,48.0,0.0,64,64,64.0,0.0,1457.896724,26.03387006,76823.0,0.0,76823,76823,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,13.01693503,13.01693503,48,64,53.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,80.0,48.0,64.0,20,0,0,0,0,0,0,1,48,1,64,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,1
50,53,24307,1,1,48,145,48,48,48.0,0.0,145,145,145.0,0.0,7940.09956,82.28082445,24307.0,0.0,24307,24307,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,41.14041223,41.14041223,48,145,80.33333333,56.00297611,3136.333333,0,0,0,0,0,0,0,0,1,120.5,48.0,145.0,20,0,0,0,0,0,0,1,48,1,145,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,1
51,80,85912219,8,6,373,11595,373,0,46.625,131.8754147,4344,0,1932.5,1977.812908,139.3049806,0.162957029,6608632.231,23800000.0,85700000,1,85800000,12300000.0,32400000.0,85700000,1,161602,32320.4,59973.93449,138131,92,0,0,0,0,264,200,0.093118303,0.069838727,0,4344,797.8666667,1524.943037,2325451.267,0,0,0,0,1,0,0,0,0,854.8571429,46.625,1932.5,264,0,0,0,0,0,0,8,373,6,11595,274,235,1,32,1017.0,0.0,1017,1017,85700000.0,0.0,85700000,85700000,0
